Cluster	DNase_ENCODE_ID	DNase_Output_Type
T-helper_17_cell_ENCSR731KDL	ENCFF228KAA	alignments
T-helper_17_cell_ENCSR747RGR	ENCFF143SWX	alignments
naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCSR068KDQ	ENCFF397TGY	alignments
naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCSR237BOF	ENCFF024BHN	alignments
naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCSR283TME	ENCFF906TID	alignments
naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCSR291HMM	ENCFF442AXX	alignments
naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCSR296TFH	ENCFF199RZW	alignments
naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCSR332HAD	ENCFF686WEN	alignments
naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCSR367WVH	ENCFF517TMD	alignments
naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCSR400YJR	ENCFF054KSC	alignments
naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCSR445QDZ	ENCFF137PON	alignments
naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCSR703VGI	ENCFF769RXI	alignments
naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCSR889ONK	ENCFF867MZF	alignments
naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCSR938OKL	ENCFF114KWN	alignments
naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCSR953OBW	ENCFF464DEG	alignments
central_memory_CD4-positive__alpha-beta_T_cell_ENCSR234FTX	ENCFF448YNZ	alignments
central_memory_CD4-positive__alpha-beta_T_cell_ENCSR467YCD	ENCFF318MDC	alignments
central_memory_CD4-positive__alpha-beta_T_cell_ENCSR556ARS	ENCFF386FCB	alignments
central_memory_CD4-positive__alpha-beta_T_cell_ENCSR671ZRV	ENCFF449DWJ	alignments
effector_memory_CD4-positive__alpha-beta_T_cell_ENCSR582QEW	ENCFF309COD	alignments
effector_memory_CD4-positive__alpha-beta_T_cell_ENCSR607EJV	ENCFF891KVE	alignments
effector_memory_CD4-positive__alpha-beta_T_cell_ENCSR724INK	ENCFF346WEX	alignments
activated_CD8-positive__alpha-beta_T_cell_ENCSR294YEJ	ENCFF511NLD	alignments
activated_CD8-positive__alpha-beta_T_cell_ENCSR776BTO	ENCFF634GPK	alignments
central_memory_CD8-positive__alpha-beta_T_cell_ENCSR160VHJ	ENCFF500RTP	alignments
central_memory_CD8-positive__alpha-beta_T_cell_ENCSR560UTV	ENCFF275CHT	alignments
CD8-positive__alpha-beta_memory_T_cell_ENCSR025BWH	ENCFF639MWE	alignments
CD8-positive__alpha-beta_memory_T_cell_ENCSR295UXT	ENCFF765ILT	alignments
CD8-positive__alpha-beta_memory_T_cell_ENCSR625WLB	ENCFF461QHE	alignments
CD8-positive__alpha-beta_memory_T_cell_ENCSR705GCU	ENCFF356WGA	alignments
effector_memory_CD8-positive__alpha-beta_T_cell_ENCSR232FAS	ENCFF852JWU	alignments
effector_memory_CD8-positive__alpha-beta_T_cell_ENCSR582MYC	ENCFF305GMO	alignments
effector_memory_CD8-positive__alpha-beta_T_cell_ENCSR892LQT	ENCFF713RLY	alignments
T-helper_22_cell_ENCSR944GPH	ENCFF049YFG	alignments
effector_CD4-positive__alpha-beta_T_cell_ENCSR355ARR	ENCFF362PIS	alignments
effector_CD4-positive__alpha-beta_T_cell_ENCSR525VCH	ENCFF039PMX	alignments
